4,0.39838,0.031475,0,0,0,0,3,0.0024872,0.0032333,0.61245,0.051923,0.65048,3.5165,0.65048,100,8
4,0.28901,-0.0099344,0,0,0,0,4,0.0024866,0.0038081,0.5148,-0.012308,0.5614,4.0881,0.5614,100,8
4,0.2192,-0.038491,0,0,0,0,5,0.0024858,0.0044083,0.44281,-0.036928,0.49502,4.6915,0.49502,100,8
4,0.17332,-0.059186,0,0,0,0,6,0.0024848,0.0049946,0.3896,-0.045413,0.44487,5.3185,0.44487,100,8
4,0.14182,-0.075007,0,0,0,0,7,0.0024838,0.0055522,0.34926,-0.047328,0.40607,5.9638,0.40607,100,8
4,0.11925,-0.087677,0,0,0,0,8,0.0024826,0.0060767,0.31775,-0.046551,0.37531,6.6239,0.37531,100,8
4,0.089628,-0.10725,0,0,0,0,10,0.0024801,0.0070281,0.27173,-0.042509,0.32984,7.9797,0.32984,100,8
5,0.5716,0.23334,2,0,0,0,2,0.0024806,0.0026879,0.73162,0.20064,0.78128,8.6973,0.78128,100,8
5,0.40022,0.067607,0,0,0,0,3,0.0024796,0.0031637,0.60618,0.046749,0.66023,9.3781,0.66023,100,8
5,0.28868,-0.02944,0,0,0,0,4,0.002478,0.0037393,0.50776,-0.016348,0.56854,10.127,0.56854,100,8
5,0.21828,-0.087093,0,0,0,0,5,0.0024762,0.0043365,0.43595,-0.03968,0.50071,10.911,0.50071,100,8
1,0.7989,0.64393,2,0,0,0,1,0.0024757,0.002353,0.85714,0.49249,0.93206,11.633,0.93206,100,8
1,0.57575,0.30581,2,0,0,0,2,0.0024754,0.0026488,0.72965,0.19905,0.78907,12.277,0.78907,100,8
1,0.40112,0.083011,0,0,0,0,3,0.002474,0.0031255,0.60279,0.043939,0.66543,13.039,0.66543,100,8
1,0.28846,-0.043051,0,0,0,0,4,0.002472,0.0037011,0.504,-0.018494,0.57234,13.882,0.57234,100,8
3,0.61811,0.052446,2,0,0,1,5,0.0024696,NaN,0.90035,0.018649,0.68652,14.786,0.68652,100,8
3,0.80721,0.78268,2,0,0,0,1,0.002471,0.0023213,0.85714,0.49679,0.94174,14.816,0.94174,100,8
3,0.57912,0.36361,2,0,0,0,2,0.0024705,0.0026165,0.72801,0.19768,0.79549,15.504,0.79549,100,8
3,0.40181,0.093638,0,0,0,0,3,0.0024689,0.003094,0.59999,0.041606,0.6697,16.332,0.6697,100,8
3,0.28825,-0.055875,0,0,0,0,4,0.0024665,0.0036694,0.5009,-0.020251,0.57546,17.251,0.57546,100,8
3,0.21734,-0.14001,0,0,0,0,5,0.0024636,0.0042629,0.42932,-0.042298,0.50625,18.208,0.50625,100,8
3,0.17135,-0.18996,0,0,0,0,6,0.0024606,0.0048369,0.37708,-0.049022,0.45441,19.175,0.45441,100,8
6,0.56999,0.32159,2,0,0,1,7,0.0024574,NaN,0.91169,0.072221,0.6252,20.19,0.6252,100,8
6,0.81876,0.97353,2,0,0,0,1,0.0024604,0.0022745,0.85714,0.50274,0.95522,19.488,0.95522,100,8
6,0.58373,0.44009,2,0,0,0,2,0.0024598,0.0025685,0.72572,0.19569,0.80435,20.231,0.80435,100,8
6,0.40272,0.10517,0,0,0,0,3,0.0024578,0.0030463,0.59611,0.038361,0.67558,21.143,0.67558,100,8
6,0.28793,-0.075848,0,0,0,0,4,0.0024548,0.0036205,0.49664,-0.022661,0.57976,22.162,0.57976,100,8
6,0.21673,-0.17541,0,0,0,0,5,0.0024513,0.0042104,0.42522,-0.043894,0.50969,23.218,0.50969,100,8
7,0.60115,0.24928,2,0,0,1,6,0.0024477,NaN,0.90706,0.053413,0.66275,24.344,0.66275,100,8
7,0.82858,1.1347,2,0,0,0,1,0.0024505,0.0022349,0.85714,0.50778,0.96668,23.786,0.96668,100,8
7,0.58757,0.50197,2,0,0,0,2,0.0024499,0.0025279,0.72376,0.19392,0.81183,24.573,0.81183,100,8
7,0.40342,0.11218,0,0,0,0,3,0.0024474,0.0030057,0.59281,0.035601,0.68052,25.555,0.68052,100,8
4,0.67123,-0.068301,2,0,0,1,4,0.002444,NaN,0.89411,-0.01775,0.75072,26.713,0.75072,100,8
4,0.10698,-0.31431,0,0,0,0,1,0.0024454,0.006367,0.30103,-0.044977,0.35536,29.294,0.35536,100,8
4,0.093129,-0.32855,0,0,0,0,2,0.0024414,0.0068233,0.27901,-0.042905,0.33378,30.35,0.33378,100,8
