PV,CA,PV/CA,CA/PV,PV_percent,CA_percent,Diff,Diff_percent
0.461038776,0.241272495,1.910863383,0.52332365,0.656459315,0.343540685,-0.219766281,-0.31291863
0.414025987,0.189529915,2.184488855,0.457772992,0.685977862,0.314022138,-0.224496072,-0.371955723
0.490120513,0.285281614,1.718023486,0.58206422,0.632085593,0.367914407,-0.204838899,-0.264171185
0.501570303,0.289167153,1.734534154,0.576523672,0.634306999,0.365693001,-0.21240315,-0.268613999
0.590796956,0.510977064,1.156210323,0.864894544,0.53622335,0.46377665,-0.079819892,-0.0724467
0.61918915,0.496301927,1.247605774,0.801535245,0.555082118,0.444917882,-0.122887223,-0.110164237
0.554186041,0.534400665,1.037023487,0.964298314,0.509087644,0.490912356,-0.019785376,-0.018175287
0.645716567,0.51882691,1.244570308,0.803490164,0.554480429,0.445519571,-0.126889657,-0.108960858
0.630017467,0.554117051,1.13697542,0.879526489,0.532048899,0.467951101,-0.075900416,-0.064097799
0.620246815,0.544840977,1.138399719,0.878426078,0.532360582,0.467639418,-0.075405838,-0.064721164
0.603981808,0.483083922,1.250262699,0.799831908,0.555607441,0.444392559,-0.120897886,-0.111214881
0.590143959,0.464971663,1.269204139,0.787895319,0.559316862,0.440683138,-0.125172296,-0.118633724
0.616958993,0.503360728,1.225679634,0.815873881,0.550699038,0.449300962,-0.113598265,-0.101398077
0.579752738,0.474264351,1.222425293,0.818045901,0.550041118,0.449958882,-0.105488387,-0.100082236
0.575981619,0.472691962,1.218513673,0.820671956,0.549247763,0.450752237,-0.103289657,-0.098495527
0.595782277,0.488804711,1.218855432,0.820441846,0.54931719,0.45068281,-0.106977566,-0.098634381
0.587125743,0.411902773,1.42539886,0.701558019,0.587696681,0.412303319,-0.17522297,-0.175393362
0.641675267,0.501995101,1.278250058,0.782319542,0.561066619,0.438933381,-0.139680166,-0.122133239
0.561534275,0.347714836,1.61492757,0.619222818,0.61758023,0.38241977,-0.213819439,-0.23516046
0.624987233,0.497614716,1.255966138,0.79619981,0.556730935,0.443269065,-0.127372517,-0.113461871
0.635090427,0.434894478,1.460332239,0.684775678,0.593550829,0.406449171,-0.200195949,-0.187101657
0.619789664,0.416571213,1.48783604,0.67211707,0.598044251,0.401955749,-0.203218451,-0.196088501
0.64159945,0.44762165,1.43335214,0.697665265,0.589044272,0.410955728,-0.1939778,-0.178088544
0.624567572,0.592185598,1.054682137,0.948152969,0.513306714,0.486693286,-0.032381974,-0.026613429
0.688353583,0.517401077,1.330406166,0.751650154,0.570890253,0.429109747,-0.170952506,-0.141780506
0.689478596,0.52659234,1.309321355,0.763754441,0.56697235,0.43302765,-0.162886256,-0.133944699
0.510691899,0.399880361,1.277111728,0.783016848,0.560847196,0.439152804,-0.110811538,-0.121694392
0.533529007,0.416680789,1.280426219,0.780989943,0.561485484,0.438514516,-0.116848218,-0.122970968
